Order_ID,Order_Date,Region,Category,Product,Customer_Name,Quantity,Discount
5000,2025-01-01,East,Groceries,Cooking Oil,Manoj Pillai,8,0.0
5001,2025-01-01,North,Clothing,Jeans,Neha Joshi,5,0.05
5002,2025-01-01,North,Electronics,Smartphone,Divya Menon,4,0.15
5003,2025-01-01,East,Furniture,Bed Frame,Sanjay Malhotra,9,0.2
5004,2025-01-01,South,Furniture,Office Chair,Sneha Gupta,3,0.1
5005,2025-01-02,East,Stationery,File Folder,Kavita Das,7,0.15
5006,2025-01-02,South,Furniture,Bookshelf,Sanjay Malhotra,9,0.1
5007,2025-01-02,North,Groceries,Spices Set,Sneha Gupta,8,0.15
5008,2025-01-02,East,Stationery,Notebook,Manoj Pillai,6,0.05
5009,2025-01-02,South,Electronics,Smartphone,Priya Verma,5,0.0
5010,2025-01-02,West,Clothing,Jeans,Divya Menon,7,0.15
5011,2025-01-03,South,Groceries,Tea Pack,Kavita Das,4,0.1
5012,2025-01-03,North,Furniture,Bookshelf,Amit Singh,5,0.1
5013,2025-01-03,East,Furniture,Wooden Table,Pooja Iyer,6,0.15
5014,2025-01-03,East,Groceries,Spices Set,Pooja Iyer,7,0.1
5015,2025-01-03,West,Stationery,Geometry Box,Neha Joshi,7,0.05
5016,2025-01-04,East,Stationery,Geometry Box,Divya Menon,6,0.0
5017,2025-01-04,North,Clothing,Shoes,Arjun Reddy,3,0.1
5018,2025-01-04,North,Groceries,Spices Set,Amit Singh,10,0.15
5019,2025-01-04,East,Groceries,Spices Set,Manoj Pillai,6,0.0
5020,2025-01-05,North,Groceries,Cooking Oil,Sanjay Malhotra,8,0.15
5021,2025-01-05,West,Furniture,Bed Frame,Sneha Gupta,6,0.0
5022,2025-01-05,West,Stationery,Pen Set,Vikram Rao,5,0.05
5023,2025-01-05,North,Furniture,Bed Frame,Priya Verma,5,0.15
5024,2025-01-06,North,Furniture,Wooden Table,Sanjay Malhotra,4,0.1
5025,2025-01-06,West,Groceries,Spices Set,Kavita Das,1,0.1
5026,2025-01-06,East,Groceries,Spices Set,Pooja Iyer,3,0.1
5027,2025-01-06,North,Stationery,Geometry Box,Divya Menon,1,0.15
5028,2025-01-06,North,Furniture,Wooden Table,Arjun Reddy,10,0.2
5029,2025-01-07,North,Clothing,Shoes,Rohit Kapoor,3,0.05
5030,2025-01-07,South,Groceries,Cooking Oil,Divya Menon,1,0.2
5031,2025-01-07,East,Clothing,T-Shirt,Divya Menon,7,0.15
5032,2025-01-07,West,Groceries,Rice Pack,Karan Mehta,4,0.15
5033,2025-01-08,South,Stationery,Marker Pack,Sneha Gupta,1,0.0
5034,2025-01-08,North,Furniture,Wooden Table,Rahul Sharma,1,0.2
5035,2025-01-08,East,Stationery,Geometry Box,Amit Singh,7,0.1
5036,2025-01-08,South,Furniture,Wooden Table,Karan Mehta,8,0.2
5037,2025-01-09,North,Stationery,Pen Set,Divya Menon,9,0.2
5038,2025-01-09,West,Groceries,Rice Pack,Divya Menon,4,0.15
5039,2025-01-09,North,Clothing,Jacket,Neha Joshi,5,0.15
5040,2025-01-09,South,Electronics,Tablet,Anjali Nair,7,0.1
5041,2025-01-09,North,Electronics,Laptop,Amit Singh,5,0.2
5042,2025-01-09,East,Electronics,Tablet,Manoj Pillai,4,0.1
5043,2025-01-10,North,Electronics,Smartphone,Manoj Pillai,6,0.1
5044,2025-01-10,West,Electronics,Smart Watch,Anjali Nair,9,0.0
5045,2025-01-10,North,Furniture,Bed Frame,Divya Menon,9,0.2
5046,2025-01-11,East,Clothing,T-Shirt,Rahul Sharma,5,0.0
5047,2025-01-11,East,Furniture,Office Chair,Anjali Nair,7,0.15
5048,2025-01-11,East,Electronics,Laptop,Kavita Das,6,0.05
5049,2025-01-12,East,Stationery,Pen Set,Pooja Iyer,5,0.15
5050,2025-01-12,East,Clothing,Cap,Rahul Sharma,4,0.0
5051,2025-01-12,North,Electronics,Smart Watch,Rohit Kapoor,6,0.15
5052,2025-01-13,West,Electronics,Smart Watch,Kavita Das,8,0.2
5053,2025-01-13,East,Electronics,Smartphone,Manoj Pillai,10,0.0
5054,2025-01-13,South,Groceries,Rice Pack,Karan Mehta,10,0.2
5055,2025-01-13,South,Groceries,Rice Pack,Karan Mehta,2,0.0
5056,2025-01-13,East,Stationery,Marker Pack,Karan Mehta,9,0.15
5057,2025-01-14,North,Stationery,File Folder,Pooja Iyer,7,0.15
5058,2025-01-14,East,Stationery,File Folder,Sneha Gupta,4,0.05
5059,2025-01-14,West,Electronics,Smart Watch,Kavita Das,1,0.1
5060,2025-01-15,East,Stationery,Pen Set,Anjali Nair,4,0.1
5061,2025-01-15,East,Stationery,Notebook,Neha Joshi,6,0.15
5062,2025-01-15,East,Groceries,Cooking Oil,Rohit Kapoor,6,0.05
5063,2025-01-16,South,Furniture,Bed Frame,Arjun Reddy,10,0.2
5064,2025-01-16,South,Clothing,Jeans,Karan Mehta,7,0.05
5065,2025-01-16,North,Groceries,Tea Pack,Anjali Nair,9,0.0
5066,2025-01-16,North,Clothing,Cap,Kavita Das,5,0.15
5067,2025-01-16,West,Stationery,Marker Pack,Neha Joshi,4,0.0
5068,2025-01-17,North,Furniture,Bed Frame,Anjali Nair,4,0.05
5069,2025-01-17,West,Furniture,Bookshelf,Sanjay Malhotra,7,0.15
5070,2025-01-17,South,Clothing,Jacket,Priya Verma,6,0.0
5071,2025-01-17,South,Clothing,Jeans,Kavita Das,9,0.1
5072,2025-01-18,West,Electronics,Laptop,Rahul Sharma,9,0.15
5073,2025-01-18,South,Electronics,Tablet,Manoj Pillai,10,0.15
5074,2025-01-18,South,Electronics,Smart Watch,Sanjay Malhotra,4,0.2
5075,2025-01-18,South,Groceries,Tea Pack,Pooja Iyer,8,0.0
5076,2025-01-18,North,Stationery,Geometry Box,Amit Singh,6,0.05
5077,2025-01-19,West,Furniture,Office Chair,Sanjay Malhotra,10,0.0
5078,2025-01-19,North,Groceries,Rice Pack,Amit Singh,2,0.0
5079,2025-01-19,South,Clothing,Jeans,Sneha Gupta,5,0.1
5080,2025-01-19,West,Furniture,Office Chair,Anjali Nair,8,0.15
5081,2025-01-19,West,Electronics,Tablet,Kavita Das,7,0.0
5082,2025-01-19,West,Electronics,Smart Watch,Anjali Nair,10,0.15
5083,2025-01-20,West,Groceries,Tea Pack,Karan Mehta,5,0.0
5084,2025-01-20,West,Stationery,Pen Set,Sneha Gupta,5,0.1
5085,2025-01-20,North,Electronics,Tablet,Divya Menon,6,0.05
5086,2025-01-20,South,Clothing,Jeans,Arjun Reddy,7,0.1
5087,2025-01-20,South,Groceries,Spices Set,Sneha Gupta,3,0.05
5088,2025-01-21,North,Clothing,Jeans,Neha Joshi,1,0.15
5089,2025-01-21,North,Clothing,Jacket,Pooja Iyer,4,0.15
5090,2025-01-21,North,Electronics,Headphones,Pooja Iyer,10,0.0
5091,2025-01-22,East,Electronics,Smartphone,Rahul Sharma,2,0.15
5092,2025-01-22,South,Groceries,Rice Pack,Rahul Sharma,9,0.0
5093,2025-01-22,South,Groceries,Snacks Box,Rohit Kapoor,10,0.05
5094,2025-01-23,West,Clothing,Cap,Pooja Iyer,9,0.05
5095,2025-01-23,South,Clothing,Jacket,Rohit Kapoor,9,0.05
5096,2025-01-23,East,Groceries,Rice Pack,Neha Joshi,3,0.0
5097,2025-01-23,East,Stationery,Marker Pack,Pooja Iyer,10,0.0
5098,2025-01-23,East,Groceries,Cooking Oil,Manoj Pillai,9,0.15
5099,2025-01-24,East,Furniture,Wooden Table,Rahul Sharma,4,0.0
5100,2025-01-24,West,Furniture,Bookshelf,Karan Mehta,6,0.05
5101,2025-01-24,South,Clothing,Shoes,Rohit Kapoor,6,0.1
5102,2025-01-24,South,Groceries,Cooking Oil,Vikram Rao,1,0.0
5103,2025-01-24,North,Furniture,Office Chair,Rohit Kapoor,7,0.0
5104,2025-01-24,North,Clothing,Shoes,Sanjay Malhotra,1,0.1
5105,2025-01-25,North,Stationery,Geometry Box,Vikram Rao,4,0.05
5106,2025-01-25,West,Electronics,Smart Watch,Arjun Reddy,4,0.0
5107,2025-01-25,South,Furniture,Sofa,Manoj Pillai,7,0.05
5108,2025-01-26,South,Electronics,Smartphone,Manoj Pillai,1,0.0
