Order_ID,Order_Date,Region,Category,Product,Customer_Name,Quantity,Discount,Sales,Profit
1000,2023-01-01,North,Clothing,Jeans,Sneha Gupta,3,0.0,5117.14,1424.8
1001,2023-01-01,North,Stationery,Marker Pack,Rahul Sharma,8,0.0,4153.89,915.53
1002,2023-01-01,South,Stationery,Marker Pack,Sneha Gupta,8,0.2,1865.66,510.93
1003,2023-01-02,West,Clothing,Jacket,Amit Singh,4,0.1,1155.62,203.37
1004,2023-01-02,East,Clothing,Cap,Vikram Rao,1,0.15,915.16,269.63
1005,2023-01-02,West,Electronics,Tablet,Vikram Rao,10,0.1,12714.54,3063.12
1006,2023-01-02,North,Furniture,Sofa,Priya Verma,10,0.0,5801.41,1317.71
1007,2023-01-03,South,Clothing,Jacket,Sneha Gupta,5,0.0,3707.81,497.69
1008,2023-01-03,South,Furniture,Bookshelf,Karan Mehta,5,0.2,742.94,122.48
1009,2023-01-03,North,Furniture,Office Chair,Sanjay Malhotra,6,0.15,2281.82,324.47
1010,2023-01-03,East,Furniture,Bookshelf,Karan Mehta,8,0.05,2592.35,387.1
1011,2023-01-03,East,Stationery,Marker Pack,Manoj Pillai,10,0.15,4864.3,1456.69
1012,2023-01-04,West,Electronics,Smartphone,Kavita Das,2,0.05,2879.49,744.11
1013,2023-01-04,West,Stationery,Notebook,Karan Mehta,7,0.2,6785.83,1396.68
1014,2023-01-04,North,Electronics,Tablet,Sanjay Malhotra,5,0.1,2958.31,553.07
1015,2023-01-04,West,Electronics,Headphones,Rohit Kapoor,3,0.2,5041.71,1381.95
1016,2023-01-05,South,Furniture,Sofa,Sanjay Malhotra,3,0.2,1434.93,408.22
1017,2023-01-05,North,Stationery,Geometry Box,Pooja Iyer,1,0.0,1637.96,451.66
1018,2023-01-05,East,Furniture,Office Chair,Sneha Gupta,10,0.0,1785.05,352.01
1019,2023-01-05,North,Stationery,Pen Set,Amit Singh,8,0.2,2783.84,572.18
1020,2023-01-05,West,Furniture,Bed Frame,Sanjay Malhotra,4,0.1,1507.29,353.21
1021,2023-01-06,West,Stationery,Marker Pack,Priya Verma,7,0.05,1274.61,277.43
1022,2023-01-06,South,Stationery,Pen Set,Rahul Sharma,5,0.0,1273.16,346.21
1023,2023-01-06,North,Stationery,Pen Set,Vikram Rao,8,0.05,7782.85,1904.23
1024,2023-01-06,West,Furniture,Bookshelf,Sanjay Malhotra,7,0.05,1121.34,259.92
1025,2023-01-06,East,Groceries,Tea Pack,Pooja Iyer,1,0.0,259.65,63.78
1026,2023-01-07,South,Furniture,Wooden Table,Rohit Kapoor,8,0.05,2274.9,354.22
1027,2023-01-07,South,Electronics,Smart Watch,Sanjay Malhotra,9,0.0,2043.23,612.68
1028,2023-01-07,North,Electronics,Laptop,Amit Singh,7,0.15,10407.96,2840.65
1029,2023-01-08,South,Groceries,Rice Pack,Karan Mehta,5,0.15,1576.72,377.34
1030,2023-01-08,West,Furniture,Wooden Table,Vikram Rao,4,0.0,2266.36,472.4
1031,2023-01-08,East,Electronics,Smartphone,Neha Joshi,8,0.2,14957.89,3084.69
1032,2023-01-09,North,Furniture,Office Chair,Neha Joshi,2,0.05,1155.33,333.1
1033,2023-01-09,South,Stationery,File Folder,Rahul Sharma,17,0.0,6750.97,1438.26
1034,2023-01-09,East,Clothing,Jeans,Arjun Reddy,6,0.05,3571.45,450.63
1035,2023-01-10,West,Clothing,T-Shirt,Rahul Sharma,11,0.2,14693.13,1684.6
1036,2023-01-10,South,Stationery,Geometry Box,Amit Singh,6,0.0,4449.59,773.81
1037,2023-01-10,South,Groceries,Spices Set,Divya Menon,5,0.2,4099.55,1071.7
1038,2023-01-10,North,Stationery,Geometry Box,Manoj Pillai,2,0.05,1123.66,312.31
1039,2023-01-10,South,Clothing,Jacket,Neha Joshi,4,0.1,1166.49,264.62
1040,2023-01-11,West,Clothing,T-Shirt,Priya Verma,12,0.1,2522.25,641.22
1041,2023-01-11,East,Furniture,Bookshelf,Rohit Kapoor,7,0.2,613.61,70.6
1042,2023-01-11,South,Stationery,Notebook,Kavita Das,6,0.2,2385.27,443.56
1043,2023-01-11,North,Clothing,Jacket,Manoj Pillai,1,0.1,625.87,93.82
1044,2023-01-11,North,Clothing,Cap,Manoj Pillai,7,0.2,10434.4,2975.4
1045,2023-01-12,South,Furniture,Bookshelf,Rahul Sharma,9,0.1,4064.48,1058.58
1046,2023-01-12,South,Clothing,Jeans,Sanjay Malhotra,2,0.15,1721.05,467.64
1047,2023-01-12,South,Furniture,Bookshelf,Anjali Nair,5,0.05,891.07,206.73
1048,2023-01-12,West,Clothing,Jacket,Kavita Das,2,0.1,1252.09,252.77
1049,2023-01-13,North,Electronics,Headphones,Amit Singh,10,0.1,3969.02,870.46
1050,2023-01-13,East,Clothing,Shoes,Neha Joshi,9,0.0,7429.11,1599.62
1051,2023-01-13,East,Electronics,Smart Watch,Rahul Sharma,17,0.2,24613.17,6089.48
1052,2023-01-13,South,Clothing,Shoes,Priya Verma,9,0.2,3150.77,768.63
1053,2023-01-13,East,Stationery,Geometry Box,Arjun Reddy,7,0.1,3913.2,622.71
1054,2023-01-14,South,Groceries,Tea Pack,Arjun Reddy,3,0.2,1528.04,276.9
1055,2023-01-14,North,Clothing,Jacket,Sneha Gupta,7,0.2,8702.8,1431.17
1056,2023-01-14,West,Groceries,Cooking Oil,Rohit Kapoor,8,0.05,8005.14,1254.86
1057,2023-01-14,East,Electronics,Laptop,Arjun Reddy,5,0.05,9886.1,1279.96
1058,2023-01-15,South,Groceries,Spices Set,Kavita Das,2,0.15,836.26,188.96
1059,2023-01-15,South,Groceries,Tea Pack,Karan Mehta,4,0.05,2728.67,275.89
1060,2023-01-15,North,Groceries,Cooking Oil,Amit Singh,9,0.15,2429.22,363.99
1061,2023-01-16,West,Furniture,Bookshelf,Arjun Reddy,9,0.2,4175.62,1210.96
1062,2023-01-16,West,Stationery,File Folder,Karan Mehta,9,0.15,8441.81,2099.74
1063,2023-01-16,West,Groceries,Snacks Box,Sanjay Malhotra,4,0.1,4318.68,882.13
1064,2023-01-17,East,Groceries,Rice Pack,Divya Menon,5,0.05,2749.46,450.75
1065,2023-01-17,North,Furniture,Wooden Table,Sneha Gupta,7,0.05,6420.49,724.53
1066,2023-01-17,West,Clothing,Cap,Pooja Iyer,7,0.0,3349.11,616.33
1067,2023-01-17,North,Stationery,Marker Pack,Pooja Iyer,1,0.1,580.65,103.35
1068,2023-01-18,South,Groceries,Cooking Oil,Vikram Rao,7,0.15,780.45,130.51
1069,2023-01-18,West,Furniture,Bookshelf,Manoj Pillai,3,0.2,1271.06,357.66
1070,2023-01-18,North,Electronics,Smart Watch,Amit Singh,8,0.05,3621.5,636.73
1071,2023-01-18,South,Groceries,Snacks Box,Anjali Nair,7,0.1,5089.65,1355.81
1072,2023-01-18,East,Electronics,Smart Watch,Rahul Sharma,14,0.0,35277.07,5109.69
1073,2023-01-18,North,Electronics,Smartphone,Sneha Gupta,4,0.0,8650.05,1277.69
1074,2023-01-19,North,Stationery,Pen Set,Pooja Iyer,5,0.1,1976.25,437.64
1075,2023-01-19,North,Furniture,Sofa,Priya Verma,17,0.0,20879.69,4916.53
1076,2023-01-19,West,Groceries,Cooking Oil,Priya Verma,15,0.05,4152.46,1121.41
1077,2023-01-19,North,Stationery,Notebook,Anjali Nair,9,0.15,9307.13,1059.07
1078,2023-01-19,East,Electronics,Smart Watch,Kavita Das,8,0.0,9881.85,1704.0
1079,2023-01-19,West,Furniture,Bookshelf,Amit Singh,9,0.1,4833.6,1372.37
1080,2023-01-20,West,Groceries,Spices Set,Vikram Rao,6,0.05,7344.11,861.7
1081,2023-01-20,West,Furniture,Bookshelf,Neha Joshi,10,0.15,3122.17,620.88
1082,2023-01-20,East,Furniture,Bookshelf,Sneha Gupta,6,0.1,2211.6,610.54
1083,2023-01-20,East,Stationery,Notebook,Rohit Kapoor,4,0.0,1705.38,309.16
1084,2023-01-20,South,Groceries,Tea Pack,Pooja Iyer,1,0.0,379.4,68.63
1085,2023-01-20,South,Clothing,Cap,Anjali Nair,8,0.2,4230.64,783.09
1086,2023-01-21,East,Groceries,Snacks Box,Vikram Rao,5,0.05,1664.55,230.57
1087,2023-01-21,North,Stationery,Pen Set,Sneha Gupta,4,0.15,2075.18,452.22
1088,2023-01-21,East,Electronics,Laptop,Vikram Rao,4,0.1,2372.3,243.94
1089,2023-01-21,South,Clothing,T-Shirt,Rahul Sharma,13,0.1,9739.79,2216.52
1090,2023-01-21,West,Electronics,Smartphone,Neha Joshi,5,0.15,5143.87,864.9
1091,2023-01-22,East,Groceries,Rice Pack,Kavita Das,2,0.15,1549.59,333.79
1092,2023-01-22,North,Furniture,Wooden Table,Sanjay Malhotra,10,0.1,2086.35,312.2
1093,2023-01-22,West,Stationery,File Folder,Sanjay Malhotra,10,0.05,9219.93,1623.4
1094,2023-01-23,East,Stationery,Marker Pack,Vikram Rao,10,0.2,1658.04,484.18
1095,2023-01-23,North,Furniture,Wooden Table,Vikram Rao,2,0.05,787.54,165.7
1096,2023-01-23,South,Electronics,Smart Watch,Pooja Iyer,10,0.15,4801.89,702.49
1097,2023-01-23,East,Groceries,Rice Pack,Arjun Reddy,4,0.1,4893.11,1101.01
1098,2023-01-23,South,Groceries,Rice Pack,Rohit Kapoor,4,0.05,3626.24,962.14
1099,2023-01-23,North,Electronics,Laptop,Sanjay Malhotra,5,0.2,10157.24,2172.04
1100,2023-01-24,West,Electronics,Smart Watch,Divya Menon,5,0.15,9190.08,1838.88
1101,2023-01-24,West,Groceries,Rice Pack,Neha Joshi,1,0.15,983.32,217.06
1102,2023-01-24,North,Electronics,Laptop,Arjun Reddy,10,0.2,25081.59,7522.33
1103,2023-01-24,East,Stationery,Notebook,Sanjay Malhotra,3,0.15,1943.45,366.24
1104,2023-01-24,East,Furniture,Bed Frame,Karan Mehta,8,0.0,4217.55,766.2
1105,2023-01-25,North,Furniture,Sofa,Karan Mehta,8,0.1,6578.77,1184.77
1106,2023-01-25,North,Groceries,Rice Pack,Anjali Nair,5,0.1,2010.91,511.8
1107,2023-01-25,North,Stationery,Marker Pack,Karan Mehta,1,0.05,941.75,211.45
1108,2023-01-25,West,Groceries,Rice Pack,Sneha Gupta,5,0.2,1324.9,208.81
1109,2023-01-25,West,Electronics,Smartphone,Arjun Reddy,10,0.05,16002.51,2594.81
1110,2023-01-26,West,Electronics,Laptop,Kavita Das,2,0.15,3691.33,847.32
1111,2023-01-26,South,Groceries,Snacks Box,Rohit Kapoor,5,0.15,3762.53,1113.89
1112,2023-01-26,South,Groceries,Spices Set,Amit Singh,7,0.05,6429.68,1296.53
1113,2023-01-27,North,Clothing,Shoes,Anjali Nair,9,0.1,16339.05,2558.17
1114,2023-01-27,East,Stationery,File Folder,Arjun Reddy,8,0.05,5126.53,1009.25
1115,2023-01-27,East,Stationery,File Folder,Karan Mehta,8,0.1,8541.15,2529.5
1116,2023-01-27,South,Stationery,Marker Pack,Sneha Gupta,7,0.0,2250.15,437.87
1117,2023-01-28,West,Furniture,Bookshelf,Rahul Sharma,8,0.2,5654.8,1549.08
1118,2023-01-28,West,Electronics,Tablet,Manoj Pillai,8,0.0,13683.64,2490.36
1119,2023-01-28,South,Electronics,Smart Watch,Sanjay Malhotra,5,0.1,4639.75,832.82
1120,2023-01-28,North,Clothing,Cap,Karan Mehta,6,0.15,10859.9,1163.96
1121,2023-01-28,North,Furniture,Sofa,Sneha Gupta,2,0.15,2187.25,551.35
1122,2023-01-28,North,Groceries,Cooking Oil,Divya Menon,5,0.0,1546.12,400.8
1123,2023-01-29,East,Clothing,Shoes,Amit Singh,4,0.2,2784.4,658.12
1124,2023-01-29,South,Furniture,Wooden Table,Priya Verma,14,0.15,4884.11,974.54
1125,2023-01-29,South,Furniture,Bookshelf,Arjun Reddy,5,0.15,874.61,89.1
1126,2023-01-29,West,Clothing,Cap,Amit Singh,2,0.15,2702.3,804.02
1127,2023-01-29,East,Groceries,Snacks Box,Pooja Iyer,5,0.05,7975.5,2158.71
1128,2023-01-30,South,Groceries,Spices Set,Anjali Nair,10,0.1,9298.44,1478.88
1129,2023-01-30,West,Clothing,T-Shirt,Neha Joshi,1,0.2,1030.83,274.79
1130,2023-01-30,East,Furniture,Bed Frame,Sanjay Malhotra,6,0.05,3866.54,866.79
1131,2023-01-31,North,Electronics,Headphones,Sanjay Malhotra,8,0.0,16313.7,4020.87
1132,2023-01-31,North,Clothing,Jacket,Divya Menon,7,0.05,4490.86,1155.51
1133,2023-01-31,East,Stationery,File Folder,Manoj Pillai,5,0.05,2114.85,560.3
1134,2023-01-31,West,Clothing,Jacket,Sanjay Malhotra,2,0.15,2747.48,352.09
1135,2023-02-01,West,Stationery,Geometry Box,Priya Verma,10,0.0,4110.23,784.88
1136,2023-02-01,East,Stationery,Marker Pack,Kavita Das,6,0.0,5704.09,1108.28
1137,2023-02-01,East,Stationery,Pen Set,Arjun Reddy,2,0.15,2098.47,336.67
1138,2023-02-01,West,Electronics,Laptop,Rahul Sharma,4,0.1,8177.91,976.76
1139,2023-02-02,West,Groceries,Snacks Box,Arjun Reddy,9,0.15,7309.43,1793.15
1140,2023-02-02,West,Electronics,Smart Watch,Neha Joshi,7,0.1,1859.34,323.72
1141,2023-02-02,West,Groceries,Cooking Oil,Kavita Das,6,0.0,8963.45,1554.86
1142,2023-02-02,East,Electronics,Smart Watch,Vikram Rao,4,0.0,9617.43,2547.06
1143,2023-02-03,South,Stationery,Notebook,Rahul Sharma,13,0.05,10171.82,1434.64
1144,2023-02-03,South,Stationery,Pen Set,Kavita Das,4,0.1,2386.97,615.19
1145,2023-02-03,North,Clothing,Jeans,Amit Singh,9,0.1,16149.54,1970.01
1146,2023-02-04,South,Electronics,Headphones,Sanjay Malhotra,4,0.2,1953.84,263.47
1147,2023-02-04,North,Furniture,Bookshelf,Rohit Kapoor,2,0.0,1404.44,358.98
1148,2023-02-04,North,Groceries,Spices Set,Sneha Gupta,10,0.0,16705.04,4706.65
1149,2023-02-05,West,Electronics,Smartphone,Pooja Iyer,7,0.15,9733.44,1927.74
1150,2023-02-05,West,Electronics,Smartphone,Anjali Nair,10,0.05,3446.41,534.2
1151,2023-02-05,East,Groceries,Spices Set,Rohit Kapoor,5,0.15,3962.67,737.21
1152,2023-02-05,North,Stationery,Pen Set,Karan Mehta,8,0.05,6359.47,1688.34
1153,2023-02-05,West,Groceries,Rice Pack,Anjali Nair,7,0.1,6689.77,1169.77
1154,2023-02-06,West,Electronics,Smartphone,Kavita Das,2,0.0,2228.42,554.69
1155,2023-02-06,East,Furniture,Bed Frame,Rahul Sharma,18,0.2,8789.17,1093.78
1156,2023-02-06,East,Groceries,Rice Pack,Vikram Rao,10,0.1,6297.2,1357.57
1157,2023-02-06,South,Furniture,Bookshelf,Sneha Gupta,2,0.1,966.89,167.77
1158,2023-02-07,South,Groceries,Spices Set,Sanjay Malhotra,10,0.2,5886.23,1244.04
1159,2023-02-07,East,Electronics,Laptop,Vikram Rao,5,0.1,4716.55,642.78
1160,2023-02-07,South,Stationery,Marker Pack,Priya Verma,10,0.0,1519.08,217.27
1161,2023-02-07,West,Groceries,Snacks Box,Amit Singh,6,0.1,6151.37,1570.86
1162,2023-02-07,North,Electronics,Laptop,Amit Singh,10,0.0,23465.25,3623.52
1163,2023-02-08,West,Stationery,Marker Pack,Karan Mehta,5,0.05,4502.1,552.69
1164,2023-02-08,West,Electronics,Headphones,Arjun Reddy,10,0.15,11128.78,1799.34
1165,2023-02-08,South,Groceries,Spices Set,Rahul Sharma,5,0.05,1834.11,464.89
1166,2023-02-08,East,Clothing,Jacket,Priya Verma,5,0.15,6065.74,763.3
1167,2023-02-08,South,Stationery,File Folder,Kavita Das,6,0.0,2283.16,567.16
1168,2023-02-08,West,Electronics,Smart Watch,Manoj Pillai,2,0.1,2537.02,544.65
1169,2023-02-09,East,Electronics,Smart Watch,Rahul Sharma,13,0.05,25557.07,4907.45
1170,2023-02-09,East,Electronics,Smart Watch,Kavita Das,2,0.05,2356.22,424.33
1171,2023-02-09,North,Groceries,Snacks Box,Divya Menon,6,0.05,5044.91,674.13
1172,2023-02-09,North,Stationery,File Folder,Sneha Gupta,6,0.1,7217.75,1903.97
1173,2023-02-09,South,Furniture,Office Chair,Amit Singh,5,0.05,759.23,99.14
1174,2023-02-09,North,Furniture,Bookshelf,Pooja Iyer,10,0.2,5356.27,1525.63
1175,2023-02-10,East,Furniture,Bookshelf,Priya Verma,13,0.15,7443.2,1624.73
1176,2023-02-10,East,Stationery,Notebook,Vikram Rao,8,0.15,1223.25,212.54
1177,2023-02-10,East,Electronics,Smartphone,Neha Joshi,10,0.2,8992.05,1942.88
1178,2023-02-10,North,Groceries,Spices Set,Arjun Reddy,4,0.1,5136.96,1028.8
1179,2023-02-10,North,Groceries,Rice Pack,Sanjay Malhotra,6,0.0,7360.59,990.09
1180,2023-02-11,West,Groceries,Spices Set,Rohit Kapoor,10,0.05,6173.22,1750.65
1181,2023-02-11,West,Groceries,Snacks Box,Arjun Reddy,10,0.0,12316.62,2826.18
1182,2023-02-11,North,Clothing,T-Shirt,Rohit Kapoor,7,0.1,5014.04,1355.36
1183,2023-02-11,South,Clothing,T-Shirt,Neha Joshi,3,0.1,1171.3,270.82
1184,2023-02-12,South,Stationery,Notebook,Vikram Rao,9,0.15,4322.62,716.24
1185,2023-02-12,South,Stationery,Notebook,Arjun Reddy,7,0.2,1983.17,342.14
1186,2023-02-12,South,Furniture,Sofa,Sanjay Malhotra,8,0.05,1441.16,183.77
1187,2023-02-12,North,Clothing,T-Shirt,Rohit Kapoor,9,0.2,2349.2,393.15
1188,2023-02-12,South,Stationery,Marker Pack,Amit Singh,3,0.05,2011.28,511.31
1189,2023-02-12,South,Groceries,Rice Pack,Karan Mehta,6,0.05,5765.75,1280.68
1190,2023-02-13,South,Stationery,Pen Set,Vikram Rao,8,0.05,2725.66,788.88
1191,2023-02-13,West,Groceries,Snacks Box,Sanjay Malhotra,7,0.2,4891.96,1434.59
1192,2023-02-13,South,Stationery,Pen Set,Kavita Das,5,0.0,2816.57,774.06
1193,2023-02-13,North,Stationery,Notebook,Vikram Rao,2,0.05,1162.75,326.8
1194,2023-02-13,South,Groceries,Rice Pack,Manoj Pillai,4,0.15,3168.85,906.59
1195,2023-02-13,West,Electronics,Smart Watch,Rohit Kapoor,6,0.05,5816.35,676.56
1196,2023-02-14,North,Clothing,T-Shirt,Kavita Das,6,0.05,3107.29,489.01
1197,2023-02-14,West,Furniture,Bookshelf,Pooja Iyer,10,0.0,8347.28,866.45
1198,2023-02-14,South,Furniture,Bed Frame,Divya Menon,10,0.2,2400.8,612.77
1199,2023-02-14,South,Clothing,T-Shirt,Rahul Sharma,11,0.15,7220.67,1382.2
1200,2023-02-15,West,Stationery,File Folder,Rahul Sharma,13,0.2,4018.32,635.92
1201,2023-02-15,North,Stationery,Geometry Box,Sneha Gupta,10,0.15,4043.56,944.75
1202,2023-02-15,East,Electronics,Tablet,Rohit Kapoor,9,0.2,10863.48,1934.69
1203,2023-02-16,North,Groceries,Snacks Box,Vikram Rao,1,0.1,1613.34,272.59
1204,2023-02-16,North,Stationery,Geometry Box,Amit Singh,1,0.1,942.76,247.66
1205,2023-02-16,South,Groceries,Tea Pack,Arjun Reddy,3,0.05,464.73,118.62
1206,2023-02-16,West,Electronics,Headphones,Sneha Gupta,1,0.05,1943.36,317.0
1207,2023-02-16,East,Stationery,Marker Pack,Kavita Das,9,0.15,3372.18,845.26
1208,2023-02-16,South,Clothing,Jacket,Kavita Das,1,0.1,356.13,92.55
1209,2023-02-17,West,Groceries,Tea Pack,Anjali Nair,3,0.15,2801.81,486.03
1210,2023-02-17,East,Electronics,Smart Watch,Priya Verma,11,0.2,22078.17,4616.43
1211,2023-02-17,East,Electronics,Smartphone,Anjali Nair,5,0.1,5685.02,1384.49
1212,2023-02-17,South,Groceries,Snacks Box,Pooja Iyer,1,0.1,611.55,114.35
1213,2023-02-17,North,Electronics,Smart Watch,Anjali Nair,9,0.05,27188.08,3495.19
1214,2023-02-17,West,Electronics,Laptop,Priya Verma,11,0.1,9614.22,1023.69
1215,2023-02-18,West,Clothing,Jacket,Pooja Iyer,2,0.2,599.05,103.87
1216,2023-02-18,East,Clothing,Jeans,Priya Verma,7,0.05,6748.49,1907.86
1217,2023-02-18,North,Clothing,Jacket,Divya Menon,8,0.05,18448.49,2898.54
1218,2023-02-18,West,Furniture,Office Chair,Amit Singh,2,0.15,395.96,96.09
1219,2023-02-19,East,Clothing,T-Shirt,Rohit Kapoor,9,0.1,13504.83,3649.98
1220,2023-02-19,South,Clothing,Cap,Sneha Gupta,2,0.05,1766.83,260.34
1221,2023-02-19,West,Electronics,Headphones,Rohit Kapoor,10,0.1,10684.05,3168.91
1222,2023-02-20,North,Electronics,Headphones,Karan Mehta,8,0.2,9983.52,1815.87
1223,2023-02-20,North,Furniture,Sofa,Arjun Reddy,2,0.15,1172.61,238.59
1224,2023-02-20,South,Stationery,File Folder,Amit Singh,3,0.15,1172.35,320.8
1225,2023-02-20,North,Stationery,Pen Set,Vikram Rao,3,0.05,1970.68,476.64
1226,2023-02-21,East,Electronics,Headphones,Sneha Gupta,9,0.1,4340.68,696.96
1227,2023-02-21,North,Stationery,Pen Set,Neha Joshi,10,0.05,4275.26,961.49
